name,pid,storeid,门店编码,门店名称,SPU编码,SKU,门店商品名称,总部商品名称,mtpid,美团开放平台唯一标识,商品条码,外部编码,商品描述,渠道库存,实物库存
晨光 AST09342带绳训练(1只装)网球,5000084981,,1148448,京东便利店（花都新华店）,1894644289917788232,1894644289918414890,晨光 AST09342带绳训练(1只装)网球,晨光 AST09342带绳训练(1只装)网球,5000084981,2000069646,,,,5,5
晨光美术本A4 40页双线圈素描本(孤单旅行)MA4472一本,5000084980,,1148448,京东便利店（花都新华店）,1894644368200945679,1894644368200192087,晨光美术本A4 40页双线圈素描本(孤单旅行)MA4472一本,晨光美术本A4 40页双线圈素描本(孤单旅行)MA4472一本,5000084980,2000069645,,,,0,0
晨光8K双线圈素描本40页(神话启录)M084一本70,5000084979,,1148448,京东便利店（花都新华店）,1894644320141983816,1894644320138215490,晨光8K双线圈素描本40页(神话启录)M084一本70,晨光8K双线圈素描本40页(神话启录)M084一本70,5000084979,2000069644,,,,3,3
晨光A4黑色卡纸APY90772-20页一份,5000084978,,1148448,京东便利店（花都新华店）,1894644320134184990,1894644320133546037,晨光A4黑色卡纸APY90772-20页一份,晨光A4黑色卡纸APY90772-20页一份,5000084978,2000069643,,,,5,5
晨光A4 10页白色/黑色瓦楞色卡纸(米菲)DA4110A/DA4110B一份,5000084977,,1148448,京东便利店（花都新华店）,1894644320137900058,1894644320137670712,晨光A4 10页白色/黑色瓦楞色卡纸(米菲)DA4110A/DA4110B一份,晨光A4 10页白色/黑色瓦楞色卡纸(米菲)DA4110A/DA4110B一份,5000084977,2000069642,,,,10,10
好顺 油膜泡泡净汽车玻璃清洗油膜去除剂强力去污重度油膜清洁剂油膜泡泡净450ml,5000084976,,1148448,京东便利店（花都新华店）,1894643318471471145,1894643318470844451,好顺 油膜泡泡净汽车玻璃清洗油膜去除剂强力去污重度油膜清洁剂油膜泡泡净450ml,好顺 油膜泡泡净汽车玻璃清洗油膜去除剂强力去污重度油膜清洁剂油膜泡泡净450ml,5000084976,2000069641,,,,3,3
保联 多功能八合一家用水龙头水管卫浴洗手盆拆卸安装专用工具【高硬度五合一】水槽扳手,5000084968,,1148448,京东便利店（花都新华店）,1894642650880864320,1894642650876051486,保联 多功能八合一家用水龙头水管卫浴洗手盆拆卸安装专用工具【高硬度五合一】水槽扳手,保联 多功能八合一家用水龙头水管卫浴洗手盆拆卸安装专用工具【高硬度五合一】水槽扳手,5000084968,2000069634,,,,3,3
保联 手喷液体黄油喷剂耐高温机械润滑门锁轴承齿轮异响汽车用油脂喷雾450ML,5000084172,,1148448,京东便利店（花都新华店）,1894642650867822656,1894642650876108884,保联 手喷液体黄油喷剂耐高温机械润滑门锁轴承齿轮异响汽车用油脂喷雾450ML,保联 手喷液体黄油喷剂耐高温机械润滑门锁轴承齿轮异响汽车用油脂喷雾450ML,5000084172,2000068978,,,,6,6
打火机焊锡丝新型电焊丝神器锡线高纯度低温无铅带松香电烙铁锡焊20克 0.8mm,5000083590,,1148448,京东便利店（花都新华店）,1894644048237768730,1894644048241946635,打火机焊锡丝新型电焊丝神器锡线高纯度低温无铅带松香电烙铁锡焊20克 0.8mm,打火机焊锡丝新型电焊丝神器锡线高纯度低温无铅带松香电烙铁锡焊20克 0.8mm,5000083590,2000068500,,,,5,5
保联 助焊膏焊锡膏松香电烙铁锡丝焊接易上锡焊接焊油高纯度助焊剂35克 一份,5000082656,,1148448,京东便利店（花都新华店）,1894642650872332318,1894642650867671083,保联 助焊膏焊锡膏松香电烙铁锡丝焊接易上锡焊接焊油高纯度助焊剂35克 一份,保联 助焊膏焊锡膏松香电烙铁锡丝焊接易上锡焊接焊油高纯度助焊剂35克 一份,5000082656,2000067752,,,,6,6
保联 热熔胶家用高粘强力胶水条热融胶棒11mm胶棒一支,5000081583,,1148448,京东便利店（花都新华店）,1894642650871775240,1894642650876014621,保联 热熔胶家用高粘强力胶水条热融胶棒11mm胶棒一支,保联 热熔胶家用高粘强力胶水条热融胶棒11mm胶棒一支,5000081583,2000066869,,,,50,50
保联  手动热熔胶枪手工制作热熔胶枪家用高粘强力胶水条热融胶棒一份150W至尊大胶枪,5000075401,,1148448,京东便利店（花都新华店）,1894642650868297818,1894642650867671082,保联  手动热熔胶枪手工制作热熔胶枪家用高粘强力胶水条热融胶棒一份150W至尊大胶枪,保联  手动热熔胶枪手工制作热熔胶枪家用高粘强力胶水条热融胶棒一份150W至尊大胶枪,5000075401,2000061940,,,,5,5
